epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,341.923,0.54902,2.51221,0.88859,0.59635,0.85903,0.78974,0.67793,0.64789,2.28189,0.93905,2.7132e-05,2.7132e-05,2.7132e-05
142,344.5,0.54871,2.46672,0.88466,0.59449,0.85578,0.79025,0.6739,0.66366,2.28215,0.94441,2.47758e-05,2.47758e-05,2.47758e-05
143,347.621,0.54749,2.48615,0.8848,0.59354,0.84345,0.78392,0.66297,0.68184,2.29155,0.95026,2.24196e-05,2.24196e-05,2.24196e-05
144,349.789,0.56197,2.36629,0.88348,0.60133,0.84391,0.77788,0.65995,0.67076,2.30304,0.94733,2.00634e-05,2.00634e-05,2.00634e-05
145,351.761,0.5561,2.37234,0.87533,0.60065,0.84083,0.7741,0.66095,0.66327,2.31321,0.94574,1.77072e-05,1.77072e-05,1.77072e-05
146,354.044,0.60024,2.42801,0.88038,0.60014,0.83132,0.77129,0.66043,0.65229,2.32485,0.94395,1.5351e-05,1.5351e-05,1.5351e-05
147,356.048,0.54103,2.35868,0.8631,0.60006,0.83497,0.77235,0.66308,0.64691,2.33719,0.94425,1.29948e-05,1.29948e-05,1.29948e-05
148,358.432,0.54706,2.34097,0.8699,0.60147,0.83782,0.77238,0.66275,0.64713,2.33934,0.94519,1.06386e-05,1.06386e-05,1.06386e-05
149,361.513,0.56579,2.38088,0.89374,0.60455,0.84641,0.77357,0.66303,0.6483,2.33745,0.94593,8.2824e-06,8.2824e-06,8.2824e-06
150,363.95,0.58119,2.34112,0.89115,0.59991,0.84416,0.77338,0.66374,0.64985,2.33549,0.949,5.9262e-06,5.9262e-06,5.9262e-06
