vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
0.7227,-55.9978,235.3257,214.2506,65.2264,58.4895,0.0235,0.0039,0.0010,0.0014,0.0022,0.0001,0.0010,0.0000,0.0001,0.0009,0.0024,0.0007,0.0006,0.0029,0.0008,0.0018,0.0149,0.0141,0.0168,0.1449,0.2476,0.2536,0.0485,0.0117
0.4934,-46.7578,570.5175,317.7486,101.2325,70.5944,0.0200,0.0063,0.0006,0.0035,0.0012,0.0001,0.0007,0.0000,0.0003,0.0008,0.0053,0.0004,0.0003,0.0021,0.0006,0.0006,0.0035,0.0028,0.0040,0.0624,0.0955,0.2464,0.0716,0.0203
0.6155,-55.7588,382.9608,213.8771,71.8532,53.9334,0.0132,0.0069,0.0009,0.0019,0.0016,0.0000,0.0003,0.0000,0.0002,0.0013,0.0029,0.0004,0.0004,0.0029,0.0006,0.0007,0.0152,0.0072,0.0053,0.1765,0.1400,0.2341,0.0623,0.0061
0.4625,-51.2397,570.7089,317.0636,99.1451,69.0842,0.0132,0.0071,0.0005,0.0027,0.0016,0.0001,0.0004,0.0000,0.0003,0.0013,0.0054,0.0002,0.0002,0.0032,0.0006,0.0005,0.0088,0.0024,0.0029,0.0776,0.1178,0.2262,0.0286,0.0185
0.5325,-55.6907,408.0958,490.1669,104.4565,106.5522,0.0116,0.0025,0.0005,0.0027,0.0014,0.0001,0.0020,0.0001,0.0002,0.0006,0.0038,0.0001,0.0003,0.0021,0.0007,0.0010,0.0054,0.0059,0.0095,0.1343,0.1427,0.2252,0.0251,0.0079
0.5274,-67.2983,184.0049,475.0257,83.0441,97.1017,0.0084,0.0028,0.0012,0.0018,0.0016,0.0000,0.0015,0.0001,0.0001,0.0007,0.0041,0.0002,0.0011,0.0044,0.0011,0.0026,0.0143,0.0257,0.0406,0.2212,0.1342,0.1101,0.0078,0.0068
0.5215,-53.8826,541.3203,208.7658,74.4853,52.9569,0.0105,0.0042,0.0006,0.0018,0.0017,0.0000,0.0003,0.0000,0.0001,0.0012,0.0038,0.0004,0.0005,0.0032,0.0011,0.0014,0.0146,0.0058,0.0050,0.1041,0.1381,0.2083,0.0675,0.0077
0.4832,-49.0169,539.2845,208.9320,76.5963,53.2265,0.0138,0.0064,0.0005,0.0032,0.0011,0.0001,0.0004,0.0000,0.0003,0.0010,0.0076,0.0004,0.0003,0.0024,0.0003,0.0008,0.0023,0.0030,0.0035,0.0695,0.1340,0.2043,0.0643,0.0225
0.4142,-45.6365,608.8142,492.3392,61.9512,106.4282,0.0328,0.0200,0.0037,0.0052,0.0047,0.0001,0.0004,0.0000,0.0003,0.0021,0.0010,0.0004,0.0002,0.0016,0.0011,0.0014,0.0089,0.0079,0.0120,0.0383,0.1078,0.1919,0.0278,0.0183
0.4596,-57.5486,407.9822,489.8043,101.4649,100.6981,0.0073,0.0023,0.0004,0.0011,0.0014,0.0001,0.0008,0.0000,0.0001,0.0007,0.0034,0.0003,0.0003,0.0017,0.0003,0.0008,0.0049,0.0055,0.0052,0.1366,0.1316,0.1662,0.0268,0.0042
