epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,196.97,0.62412,2.86688,0.88875,0.48251,0.84492,0.71266,0.58506,0.71039,2.59212,0.91442,0.000135517,0.000135517,0.000135517
96,198.729,0.65058,2.91001,0.90509,0.47855,0.80396,0.71955,0.61169,0.63081,2.58153,0.89873,0.000133161,0.000133161,0.000133161
97,200.446,0.62869,2.90302,0.91435,0.55275,0.74925,0.73699,0.63134,0.62103,2.56222,0.89727,0.000130805,0.000130805,0.000130805
98,202.133,0.63997,2.89257,0.90838,0.62409,0.78463,0.76196,0.65006,0.6199,2.51839,0.89791,0.000128449,0.000128449,0.000128449
99,203.864,0.62667,2.92545,0.89596,0.52219,0.86097,0.79185,0.67713,0.61579,2.5042,0.89644,0.000126092,0.000126092,0.000126092
100,206.414,0.64734,2.86655,0.92762,0.5639,0.76959,0.77823,0.66059,0.63419,2.49558,0.90111,0.000123736,0.000123736,0.000123736
101,208.249,0.62412,2.74515,0.90892,0.52717,0.81036,0.75639,0.63746,0.65045,2.51418,0.903,0.00012138,0.00012138,0.00012138
102,209.9,0.63188,2.78088,0.91445,0.49704,0.86294,0.75624,0.63656,0.66345,2.5147,0.90271,0.000119024,0.000119024,0.000119024
103,211.595,0.65797,2.86925,0.90364,0.54337,0.8104,0.76642,0.64654,0.65043,2.49623,0.89683,0.000116668,0.000116668,0.000116668
104,213.34,0.65195,2.80405,0.90568,0.51847,0.81729,0.75372,0.64824,0.61643,2.50758,0.89514,0.000114311,0.000114311,0.000114311
105,214.991,0.64335,2.82521,0.90977,0.52999,0.85091,0.72126,0.62314,0.61022,2.53282,0.89686,0.000111955,0.000111955,0.000111955
106,216.732,0.66887,2.71833,0.92507,0.55177,0.87471,0.72519,0.62568,0.61563,2.55321,0.89402,0.000109599,0.000109599,0.000109599
107,219.326,0.63974,2.87464,0.91704,0.5682,0.8874,0.74154,0.63029,0.63712,2.53248,0.89585,0.000107243,0.000107243,0.000107243
108,221.383,0.65416,2.80618,0.91891,0.56058,0.88329,0.74997,0.62025,0.7394,2.50797,0.91971,0.000104887,0.000104887,0.000104887
109,223.103,0.67252,2.75315,0.9176,0.53053,0.91118,0.74655,0.61228,0.74884,2.5251,0.92227,0.00010253,0.00010253,0.00010253
110,224.809,0.64241,2.74238,0.92366,0.51628,0.9069,0.73471,0.6115,0.69706,2.52984,0.90763,0.000100174,0.000100174,0.000100174
111,226.488,0.60747,2.70912,0.90547,0.49597,0.92529,0.72848,0.61162,0.66942,2.52649,0.89915,9.7818e-05,9.7818e-05,9.7818e-05
112,228.188,0.65879,2.71642,0.91844,0.50168,0.88573,0.74989,0.64079,0.64211,2.50263,0.8919,9.54618e-05,9.54618e-05,9.54618e-05
113,229.821,0.62186,2.64877,0.91149,0.49945,0.87161,0.77236,0.66912,0.61066,2.48175,0.88963,9.31056e-05,9.31056e-05,9.31056e-05
114,232.215,0.65245,2.79086,0.92605,0.57921,0.81469,0.78947,0.68716,0.60423,2.46792,0.89114,9.07494e-05,9.07494e-05,9.07494e-05
115,234.323,0.60896,2.71274,0.90169,0.51321,0.90562,0.79966,0.69519,0.59711,2.45156,0.88993,8.83932e-05,8.83932e-05,8.83932e-05
116,235.994,0.64205,2.75011,0.9182,0.61637,0.81884,0.79579,0.68535,0.61194,2.44099,0.89083,8.6037e-05,8.6037e-05,8.6037e-05
117,237.607,0.63189,2.8147,0.89556,0.60813,0.833,0.79033,0.67357,0.63498,2.45121,0.89688,8.36808e-05,8.36808e-05,8.36808e-05
118,239.246,0.63672,2.6836,0.89241,0.57666,0.84571,0.77475,0.65961,0.63433,2.45286,0.89537,8.13246e-05,8.13246e-05,8.13246e-05
