group_id,best_class,max_conf,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15,x1,y1,x2
3,Leanbot_p195,0.04,437.07,258.71,48.24,26.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,412.95,245.46,461.19
3,Leanbot_p195,0.03,438.30,258.17,50.02,28.58,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,413.29,243.88,463.31
3,Leanbot_m15,0.02,444.84,258.22,36.99,23.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,426.34,246.40,463.33
3,Leanbot_p195,0.02,438.22,258.72,50.15,28.30,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,413.15,244.57,463.30
4,Leanbot_p180,0.48,501.77,417.02,72.37,53.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,465.58,390.36,537.95
4,Leanbot_m15,0.27,502.33,416.74,73.27,53.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,465.69,389.97,538.97
4,Leanbot_p180,0.21,501.98,416.42,71.97,54.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,466.00,389.37,537.97
4,Leanbot_p180,0.19,501.73,416.88,72.11,53.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,465.68,390.02,537.78
4,Leanbot_p195,0.19,500.83,416.48,72.93,50.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,464.37,391.44,537.29
4,Leanbot_p195,0.18,501.21,417.33,71.07,52.34,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,465.67,391.16,536.75
4,Leanbot_p165,0.18,501.20,417.51,71.23,53.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,465.58,390.76,536.81
4,Leanbot_p195,0.15,501.17,417.46,71.09,53.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,465.62,390.81,536.72
4,Leanbot_p195,0.14,501.00,416.58,72.90,50.46,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,464.55,391.35,537.45
4,Leanbot_p195,0.14,500.53,415.89,72.68,49.56,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,464.19,391.11,536.87
4,Leanbot_p180,0.11,502.38,417.12,69.87,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,467.44,390.62,537.32
4,Leanbot_p180,0.10,501.55,416.96,73.15,53.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,464.98,390.26,538.12
4,Leanbot_p195,0.09,500.75,416.83,72.49,51.69,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,464.50,390.99,537.00
4,Leanbot_p180,0.08,502.40,416.94,69.64,53.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,467.58,390.44,537.22
4,Leanbot_p180,0.06,502.12,416.49,69.97,54.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,467.13,389.44,537.11
4,Leanbot_m15,0.06,501.82,417.34,71.87,51.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,465.88,391.59,537.75
4,Leanbot_p165,0.05,501.30,418.00,70.11,52.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,466.25,391.50,536.36
4,Leanbot_p195,0.05,501.18,417.36,70.75,51.87,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,465.81,391.43,536.56
4,Leanbot_m15,0.04,499.71,417.27,68.94,52.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,465.24,391.04,534.18
4,Leanbot_m15,0.04,502.98,417.48,71.85,50.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,467.06,392.15,538.90
4,Leanbot_p165,0.03,501.25,417.47,72.08,53.50,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,465.21,390.72,537.29
4,Leanbot_p195,0.03,501.45,417.68,70.59,52.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,466.15,391.32,536.75
4,Leanbot_m15,0.03,499.02,417.65,67.09,52.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,465.47,391.49,532.56
4,Leanbot_p165,0.02,501.34,417.70,70.57,52.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,466.05,391.25,536.62
4,Leanbot_p180,0.02,500.93,416.92,70.63,52.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,465.62,390.50,536.25
4,Leanbot_p180,0.02,503.07,416.99,68.53,50.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,468.81,391.51,537.34
4,Leanbot_p180,0.01,502.83,415.79,68.40,50.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,468.63,390.72,537.03
5,Leanbot_p195,0.42,369.53,419.34,67.19,44.95,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335.93,396.86,403.12
5,Leanbot_p195,0.33,369.00,419.18,67.00,45.13,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.15,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,335.50,396.62,402.50
