group_id,anchor_id,vector_magnitude,predicted_angle,x_center,y_center,width,height,top_class,top_class_score,vector_x,vector_y,contribution_pct
9,14,0.0215,-65.7600,541.0800,439.5800,114.0400,70.4800,Leanbot_m90,0.0067,0.0088,-0.0196,0.2200
9,15,0.0160,-17.4900,541.2700,439.5900,115.3300,76.5600,Leanbot_m15,0.0069,0.0152,-0.0048,0.1600
9,16,0.0137,-34.2400,546.6000,439.3200,102.7000,76.5200,Leanbot_m45,0.0042,0.0113,-0.0077,0.1400
9,17,0.0129,-61.3100,541.8600,438.8400,112.2200,73.3800,Leanbot_m90,0.0042,0.0062,-0.0114,0.1300
9,18,0.0099,-9.2800,541.0600,438.0900,116.5700,74.1100,Leanbot_0,0.0053,0.0097,-0.0016,0.1000
9,19,0.0097,-25.7400,541.4500,439.0500,113.9500,76.9400,Leanbot_m30,0.0030,0.0087,-0.0042,0.1000
9,20,0.0059,3.0200,536.8100,432.0000,105.9200,63.3200,Leanbot_0,0.0025,0.0059,0.0003,0.0600
9,21,0.0045,-34.7700,540.7800,437.9900,114.7100,73.8200,Leanbot_m15,0.0019,0.0037,-0.0026,0.0500
9,22,0.0038,-38.0000,540.6400,437.7700,115.1900,73.4200,Leanbot_m15,0.0015,0.0030,-0.0023,0.0400
9,23,0.0025,11.4600,539.4200,438.3200,109.6900,75.9400,Leanbot_p15,0.0013,0.0025,0.0005,0.0300
9,24,0.0008,-102.6200,540.2800,436.1700,110.3300,71.1800,Leanbot_m150,0.0011,-0.0002,-0.0008,0.0100
10,0,0.0175,144.2900,238.3500,625.5700,55.2500,28.5400,Leanbot_p195,0.0083,-0.0142,0.0102,37.9300
10,1,0.0165,-78.7700,241.5500,625.6600,60.5500,28.8000,Leanbot_m105,0.0071,0.0032,-0.0162,35.9100
10,2,0.0146,164.1900,244.4400,625.1900,65.9300,29.4500,Leanbot_p180,0.0057,-0.0141,0.0040,31.7300
10,3,0.0108,115.6000,235.2300,625.9900,48.3100,27.7500,Leanbot_p45,0.0084,-0.0047,0.0098,23.5300
10,4,0.0091,127.6100,237.7200,625.0900,57.7500,29.6400,Leanbot_p75,0.0037,-0.0055,0.0072,19.7400
10,5,0.0077,135.3200,246.0200,624.9300,72.7500,30.1300,Leanbot_p195,0.0020,-0.0055,0.0054,16.7300
10,6,0.0074,93.2900,234.4500,625.4100,50.6800,28.9100,Leanbot_p60,0.0053,-0.0004,0.0074,16.1100
10,7,0.0064,-65.0400,242.0600,625.3000,62.9000,28.6000,Leanbot_m90,0.0025,0.0027,-0.0058,13.8400
10,8,0.0047,-68.8700,248.2200,625.2800,77.0400,29.6800,Leanbot_m105,0.0018,0.0017,-0.0044,10.2900
10,9,0.0041,161.3900,249.1400,624.6200,76.3300,30.6800,Leanbot_p180,0.0016,-0.0039,0.0013,8.9400
10,10,0.0038,-61.4900,239.7200,625.9100,61.4400,28.1700,Leanbot_m105,0.0012,0.0018,-0.0033,8.1900
10,11,0.0037,-82.2800,247.9500,624.7800,76.7400,29.6800,Leanbot_m150,0.0020,0.0005,-0.0037,8.0600
10,12,0.0030,179.3700,234.7900,625.5200,47.4400,27.7800,Leanbot_p195,0.0021,-0.0030,0.0000,6.5300
10,13,0.0024,-166.9400,242.9300,625.1700,58.6400,28.7200,Leanbot_p195,0.0015,-0.0023,-0.0005,5.2200
10,14,0.0018,10.5800,242.2500,626.5800,62.4000,26.9400,Leanbot_p45,0.0014,0.0018,0.0003,4.0100
10,15,0.0018,164.1600,234.5300,625.9600,45.8900,27.4900,Leanbot_p195,0.0013,-0.0018,0.0005,3.9500
10,16,0.0017,95.4600,235.9700,626.6900,48.6200,26.4100,Leanbot_p195,0.0011,-0.0002,0.0017,3.7200
10,17,0.0010,76.7300,235.8500,625.7100,50.5300,28.2600,Leanbot_m135,0.0011,0.0002,0.0010,2.2000
11,0,0.0032,17.7800,520.6600,413.8800,70.7100,25.9900,Leanbot_p15,0.0016,0.0030,0.0010,100.0000
12,0,0.0025,-27.1000,485.1600,239.5400,99.3800,157.8300,Leanbot_m30,0.0013,0.0022,-0.0011,100.0000
